#ORG.,PROG.,ECON.,DESCRIPCIÓN,CREDITOS INICIALES,MODIFICACI.,CREDITOS DEFINITIVOS,OBLICACIONES RECONOCIDAS
3.0,01100,31001,DEUDA PUBLICA.- INTERESES DE PRESTAMOS,1281115.1,0,1281115.1,21282.37
3.0,01100,31002,DEUDA PUBLICA.- INTERESES OP.TESORERIA,250000.0,0,250000.0,1678.81
3.0,01100,31900,DEUDA PUBLICA.- OTROS GASTOS FINANCIEROS,50.0,0,50.0,
3.0,01100,91304,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 100,1150000.0,0,1150000.0,
3.0,01100,91305,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 419,2088536.16,0,2088536.16,
3.0,01100,91312,DEUDA PUBLICA.- AMORTIZ.PREST.SANTAND.BANESTO 2010,1321612.18,0,1321612.18,
3.0,01100,91313,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA SABADELL 2010,1100000.0,0,1100000.0,
3.0,01100,91315,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA (2008) 110,696647.48,0,696647.48,
3.0,01100,91316,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA SABADELL(2008),503352.52,0,503352.52,125838.13
3.0,01100,91318,DEUDA PUBLICA.- AMORTIZ.PREST.SANTANDER (2009)147,1100000.0,0,1100000.0,275000.0
3.0,01100,91328,DEUDA PUBLICA.- AMORTIZ.PREST.BPOPULAR(RDL 4/2012),275641.94,0,275641.94,
3.0,01100,91329,DEUDA PUBLICA.- AMORTIZ.PREST. BBVA(RDL 4/2012),425602.08,0,425602.08,
3.0,01100,91330,DEUDA PUBLICA.- AMORTIZ.PREST.CAIXABANC(RDL4/2012),553907.86,0,553907.86,
3.0,01100,91331,DEUDA PUBLICA.- AMORTIZ.PREST.SANTANDER(RDL4/2012),474116.18,0,474116.18,
3.0,01100,91332,DEUDA PUBLICA.- AMORTIZ.PREST. SAB CAM (RDL4/2012),180879.26,0,180879.26,
3.0,01100,91333,DEUDA PUBLICA.- AMORTIZ.PREST.BANKINTER(RDL4/2012),190325.72,0,190325.72,
3.0,01100,91334,DEUDA PUBLICA.- AMORTIZ.PREST. BANKIA (RDL 4/2012),407990.18,0,407990.18,
3.0,01100,91335,DEUDA PUBLICA.- AMORTIZ.PREST.SAN/BANES(RDL4/2012),196077.9,0,196077.9,
3.0,01100,91336,DEUDA PUBLICA.- AMORTIZ.PREST.SABADELL(RDL 4/2012),186464.54,0,186464.54,
3.0,01100,91337,DEUDA PUBLICA.- AMORT.PRES.B.MARE NOSTRUM(R4/2012),337325.7,0,337325.7,
3.0,01100,91338,DEUDA PUBLICA.- AMORT.PRES.B.COOP.ESPAÑOL(R4/2012),166663.5,0,166663.5,
5.0,13000.0,12000,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO A1,14824.09,0,14824.09,2240.3
5.0,13000.0,12003,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO C1,19967.38,0,19967.38,2908.92
5.0,13000.0,12004,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO C2,59236.59,0,59236.59,8473.5
5.0,13000.0,12005,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO E,7725.03,0,7725.03,1107.92
5.0,13000.0,12006,NEG.ADMIN.SEGURIDAD.- TRIENIOS,14485.13,0,14485.13,2963.14
5.0,13000.0,12009,NEG.ADMIN.SEGURIDAD.- I.T.BASICAS,100.0,0,100.0,
5.0,13000.0,12100,NEG.ADMIN.SEGURIDAD.- COMPLEMENTO DE DESTINO,63888.9,0,63888.9,9101.12
