#ORG.,PROG.,ECON.,DESCRIPCIÓN,PRESUPUESTO INICIAL,MODIFIC.,PREVISIONES DEFINITIVAS
3.0,01100,31001.0,DEUDA PUBLICA.- INTERESES DE PRESTAMOS,1281115.1,,1281115.1
3.0,01100,31002.0,DEUDA PUBLICA.- INTERESES OP.TESORERIA,250000.0,,250000.0
3.0,01100,31900.0,DEUDA PUBLICA.- OTROS GASTOS FINANCIEROS,50.0,,50.0
3.0,01100,91304.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 100,1150000.0,,1150000.0
3.0,01100,91305.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 419,2088536.16,,2088536.16
3.0,01100,91312.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTAND.BANESTO 2010,1321612.18,,1321612.18
3.0,01100,91313.0,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA SABADELL 2010,1100000.0,,1100000.0
3.0,01100,91315.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA (2008) 110,696647.48,,696647.48
3.0,01100,91316.0,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA SABADELL(2008),503352.52,,503352.52
3.0,01100,91318.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTANDER (2009)147,1100000.0,,1100000.0
3.0,01100,91328.0,DEUDA PUBLICA.- AMORTIZ.PREST.BPOPULAR(RDL 4/2012),275641.94,,275641.94
3.0,01100,91329.0,DEUDA PUBLICA.- AMORTIZ.PREST. BBVA(RDL 4/2012),425602.08,,425602.08
3.0,01100,91330.0,DEUDA PUBLICA.- AMORTIZ.PREST.CAIXABANC(RDL4/2012),553907.86,,553907.86
3.0,01100,91331.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTANDER(RDL4/2012),474116.18,,474116.18
3.0,01100,91332.0,DEUDA PUBLICA.- AMORTIZ.PREST. SAB CAM (RDL4/2012),180879.26,,180879.26
3.0,01100,91333.0,DEUDA PUBLICA.- AMORTIZ.PREST.BANKINTER(RDL4/2012),190325.72,,190325.72
3.0,01100,91334.0,DEUDA PUBLICA.- AMORTIZ.PREST. BANKIA (RDL 4/2012),407990.18,,407990.18
3.0,01100,91335.0,DEUDA PUBLICA.- AMORTIZ.PREST.SAN/BANES(RDL4/2012),196077.9,,196077.9
3.0,01100,91336.0,DEUDA PUBLICA.- AMORTIZ.PREST.SABADELL(RDL 4/2012),186464.54,,186464.54
3.0,01100,91337.0,DEUDA PUBLICA.- AMORT.PRES.B.MARE NOSTRUM(R4/2012),337325.7,,337325.7
3.0,01100,91338.0,DEUDA PUBLICA.- AMORT.PRES.B.COOP.ESPAÑOL(R4/2012),166663.5,,166663.5
5.0,13000.0,12000.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO A1,14824.09,,14824.09
5.0,13000.0,12003.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO C1,19967.38,,19967.38
5.0,13000.0,12004.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO C2,59236.59,,59236.59
5.0,13000.0,12005.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO E,7725.03,,7725.03
5.0,13000.0,12006.0,NEG.ADMIN.SEGURIDAD.- TRIENIOS,14485.13,,14485.13
5.0,13000.0,12009.0,NEG.ADMIN.SEGURIDAD.- I.T.BASICAS,100.0,,100.0
5.0,13000.0,12100.0,NEG.ADMIN.SEGURIDAD.- COMPLEMENTO DE DESTINO,63888.9,,63888.9
5.0,13000.0,12101.0,NEG.ADMIN.SEGURIDAD.- COMPLEMENTO ESPECÍFICO,122255.75,,122255.75
5.0,13000.0,12103.0,NEG.ADMIN.SEGURIDAD.- I.T.COMPLEM.,100.0,,100.0
5.0,13000.0,12104.0,NEG.ADMIN.SEGURIDAD.- 49.73% EXTRA 2012,8732.76,,8732.76
5.0,13000.0,15000.0,NEG.ADMIN.SEGURIDAD.- PRODUCTIVIDADES,646.71,,646.71
5.0,13000.0,15100.0,NEG.ADMIN.SEGURIDAD.- GRATIFICACIONES,749.88,,749.88
5.0,13000.0,16000.0,NEG.ADMIN.SEGURIDAD.- SEGURIDAD SOCIAL,81577.39,,81577.39
5.0,13001.0,12001.0,UNID.DIR.SEG. Y SERV.- SUELDOS DEL GRUPO A2,13035.59,,13035.59
5.0,13001.0,12003.0,UNID.DIR.SEG. Y SERV.- SUELDOS DEL GRUPO C1,79869.52,,79869.52
5.0,13001.0,12006.0,UNID.DIR.SEG. Y SERV.- TRIENIOS,19183.88,,19183.88
5.0,13001.0,12009.0,UNID.DIR.SEG. Y SERV.- I.T. BÁSICAS,100.0,,100.0
5.0,13001.0,12100.0,UNID.DIR.SEG. Y SERV.- COMPLEMENTO DE DESTINO,59408.79,,59408.79
5.0,13001.0,12101.0,UNID.DIR.SEG. Y SERV.- COMPLEMENTO ESPECÍFICO,146896.06,,146896.06
5.0,13001.0,12103.0,UNID.DIR.SEG. Y SERV.- IT.COMPLEM.,100.0,,100.0
5.0,13001.0,12104.0,UNID.DIR.SEG. Y SERV.- 49.73% EXTRA 2012,10809.66,,10809.66
5.0,13001.0,15000.0,UNID.DIR.SEG. Y SERV.- PRODUCTIVIDADES,9395.42,,9395.42
5.0,13001.0,15100.0,UNID.DIR.SEG. Y SERV.- GRATIFICACIONES,10677.18,,10677.18
5.0,13001.0,16000.0,UNID.DIR.SEG. Y SERV.- SEGURIDAD SOCIAL,103992.33,,103992.33
5.0,13200.0,12000.0,POLICIA LOCAL.- SUELDOS DEL GRUPO A1,44472.27,,44472.27
5.0,13200.0,12001.0,POLICIA LOCAL.- SUELDOS DEL GRUPO A2,221605.03,,221605.03
5.0,13200.0,12003.0,POLICIA LOCAL.- SUELDOS DEL GRUPO C1,2605743.09,,2605743.09
5.0,13200.0,12006.0,POLICIA LOCAL.- TRIENIOS,495338.73,,495338.73
5.0,13200.0,12009.0,POLICIA LOCAL.- I.T. BASICAS,100.0,,100.0
5.0,13200.0,12100.0,POLICIA LOCAL.- COMPLEMENTO DE DESTINO,1806754.34,,1806754.34
5.0,13200.0,12101.0,POLICIA LOCAL.- COMPLEMENTO ESPECÍFICO,4117946.72,,4117946.72
5.0,13200.0,12103.0,POLICIA LOCAL.- I.T. COMPLEMENTARIAS,100.0,,100.0
5.0,13200.0,12104.0,POLICIA LOCAL.- 49.73% EXTRA 2012,312211.69,,312211.69
5.0,13200.0,15000.0,POLICIA LOCAL.- PRODUCTIVIDADES,421809.73,,421809.73
5.0,13200.0,15100.0,POLICIA LOCAL.- GRATIFICACIONES,157238.9,,157238.9
5.0,13200.0,16000.0,POLICIA LOCAL.- SEGURIDAD SOCIAL,2783003.86,,2783003.86
5.0,13200.0,16200.0,POLICIA LOCAL.- FORMACIÓN EXTERNA (ESPAC 5.3),3000.0,,3000.0
5.0,13200.0,16205.0,POLICIA LOCAL.- SEGUROS,9362.0,,9362.0
5.0,13200.0,21300.0,UNID.APOYO.- MANTENIMIENTO DE EMISORAS,21780.0,,21780.0
5.0,13200.0,21302.0,UNID.APOYO.- MANTENIMIENTO INSTALACIONES ESPAC,2400.0,,2400.0
5.0,13200.0,21400.0,UNID.APOYO.- MANTENIMIENTO VEHICULOS PARQUE INFANT,800.0,,800.0
5.0,13200.0,21610.0,UNID.APOYO.- MANTENIMIENTO SOFTWARE,3000.0,,3000.0
5.0,13200.0,220000.0,UNID.APOYO.- MATERIAL IMPRENTA PARQUE INFANTIL (ESPAC 5.10),800.0,,800.0
5.0,13200.0,220001.0,UNID.APOYO.- MATERIAL OFICINA ESPAC,2000.0,,2000.0
5.0,13200.0,22001.0,UNID.APOYO.- LIBROS (ESPAC 5.6),500.0,,500.0
5.0,13200.0,221990.0,UNID.APOYO.- SUMINISTROS ESPAC (5.8),800.0,,800.0
5.0,13200.0,221991.0,UNID.APOYO.- SUMINISTROS PARQUE INFANTIL (ESPAC 5),700.0,,700.0
5.0,13200.0,22400.0,UNID.APOYO.- SEGURO PARQUE INFANTIL (ESPAC 5.10),1450.0,,1450.0
5.0,13200.0,226011.0,UNID.APOYO.- PROTOCOLO PARQUE INFAN. (ESPAC 5.10),1000.0,,1000.0
5.0,13200.0,226020.0,UNID.APOYO.- MARKETING ESPAC (5.9),2000.0,,2000.0
5.0,13200.0,226021.0,UNID.APOYO.- MATERIAL PUBLICITARIO PARQUE INFANTIL (ESPAC 5.10),400.0,,400.0
5.0,13200.0,22606.0,UNID.APOYO.- FORMACIÓN CONTÍNUA (ESPAC 5.3),28000.0,,28000.0
5.0,13200.0,227990.0,UNID.APOYO.- TRABAJOS DIVERSOS PQ INFANTIL (ESPAC 5.10),7000.0,,7000.0
5.0,13200.0,48100.0,PREMIOS CONCURSO ESCOLAR EDUCACION VIAL,600.0,,600.0
5.0,13200.0,48900.0,CONVENIO  UJI(CATEDRA PREVENCION DELITO),17000.0,,17000.0
5.0,13201.0,12000.0,GRUPO FORM. ESPAC.- SUELDOS GRUPO A1,14824.09,,14824.09
5.0,13201.0,12001.0,GRUPO FORM. ESPAC.- SUELDOS GRUPO A2,39106.77,,39106.77
5.0,13201.0,12006.0,GRUPO FORM. ESPAC.- TRIENIOS,21982.5,,21982.5
5.0,13201.0,12009.0,GRUPO FORM. ESPAC.- I.T.BASICAS,100.0,,100.0
5.0,13201.0,12100.0,GRUPO FORM. ESPAC.-COMPLEMENTO DESTINO,26894.57,,26894.57
5.0,13201.0,12101.0,GRUPO FORM. ESPAC.- COMPLEM.ESPECIFICO,83834.27,,83834.27
5.0,13201.0,12103.0,GRUPO FORM. ESPAC.- I.T.COMPLEMENT.,100.0,,100.0
5.0,13201.0,12104.0,GRUPO FORM. ESPAC.- 49.73% EXTRA 2012,9410.31,,9410.31
5.0,13201.0,15000.0,GRUPO FORM. ESPAC.- PRODUCTIVIDAD,100.0,,100.0
5.0,13201.0,15100.0,GRUPO FORM. ESPAC.- GRATIFICACIONES,100.0,,100.0
5.0,13201.0,16000.0,GRUPO FORM. ESPAC.- SEG.SOCIAL,75071.67,,75071.67
5.0,13210.0,221040.0,P.JUDICIAL .- VESTUARIO (1.1),7500.0,,7500.0
5.0,13220.0,221991.0,SEG.CIUD.- MATERIAL TÉCNICO U.C.E. y G.I.P (2.2),8000.0,,8000.0
5.0,13230.0,20400.0,LOGIST.- RENTING VEHICULOS (3.1),407235.0,,407235.0
5.0,13230.0,21300.0,LOGIST.- MANTENIMIENTO LOGÍSTICA (3.1),1450.0,,1450.0
5.0,13230.0,21400.0,LOGIST.- MANTENIMIENTO PARQUE MÓVIL (3.1),41056.09,,41056.09
5.0,13230.0,21610.0,LOGIST.- MANTENIMIENTO SOFTWARE,3000.0,,3000.0
5.0,13230.0,22000.0,LOGIST.- MATERIAL  DE OFICINA (3.1),5000.0,,5000.0
5.0,13230.0,22103.0,LOGIST.- SUMINISTRO DE COMBUSTIBLES AUTOMOCIÓN,142350.0,,142350.0
5.0,13230.0,221041.0,LOGIST.- VESTUARIO (4.2),132600.0,,132600.0
5.0,13230.0,221990.0,LOGIST.- OTROS SUMINISTROS (3.1),29500.0,,29500.0
5.0,13230.0,221991.0,LOGIST.- SUMINISTRO TIRO (2.3),10000.0,,10000.0
5.0,13230.0,22201.0,LOGIST.- COMUNICACIONES POSTALES (3.1),500.0,,500.0
5.0,13230.0,22300.0,LOGIST.- TRANSPORTES (3.1),1500.0,,1500.0
5.0,13230.0,22400.0,LOGIST.- SEGURO DE VEHÍCULOS,16741.67,,16741.67
5.0,13230.0,22601.0,LOGIST.- ATENCIONES PROTOCOLARIAS (3.1),1500.0,,1500.0
5.0,13240.0,20400.0,DISTRITO.- ARRENDAMIENTO MOTICICLETAS (1.7),35949.6,,35949.6
5.0,13240.0,20601.0,DISTRITO.- SISTEMA INTEGRAL GESTIÓN EMERGENCIAS,202660.0,,202660.0
5.0,13240.0,21300.0,DISTRITO.- MANTENIMIENTO INTEGRAL POLICÍA PLAYA,3000.0,,3000.0
5.0,13240.0,21400.0,DISTRITO.- REPARACIÓN BICICLETAS UPC (4.1),3000.0,,3000.0
5.0,13250.0,12005.0,AGRUP.TRAFICO.- SUELDOS GRUPO E,348991.46,,348991.46
5.0,13250.0,12006.0,AGRUP.TRAFICO.- TRIENIOS,3286.6,,3286.6
5.0,13250.0,12009.0,AGRUP.TRAFICO.- I.T.BASICAS,100.0,,100.0
5.0,13250.0,12100.0,AGRUP.TRAFICO.- COMP.DESTINO,202247.96,,202247.96
5.0,13250.0,12101.0,AGRUP.TRAFICO.- COMPL.ESPECIFICO,418059.71,,418059.71
5.0,13250.0,12103.0,AGRUP.TRAFICO.- I.T. COMPLEMENT.,100.0,,100.0
5.0,13250.0,12104.0,AGRUP.TRAFICO.- 49.73% EXTRA 2012,32712.34,,32712.34
5.0,13250.0,15000.0,AGRUP.TRAFICO.- PRODUCTIVIDAD,78787.74,,78787.74
5.0,13250.0,15100.0,AGRUP.TRAFICO.- GRATIFICACIONES,17129.02,,17129.02
5.0,13250.0,16000.0,AGRUP.TRAFICO.- SEG.SOCIAL,344405.99,,344405.99
5.0,13250.0,16205.0,AGRUP.TRAFICO.- SEGUROS,1600.0,,1600.0
