#Ej.,Económ.,Descripción,Previsiones iniciales,Previsiones modificadas,Previsiones definitivas,Derechos reconocidos
2016.0,10000.0,INGR. PROCED. CESIÓN I.R.P.F.,3041237.87,,3041237.87,3355484.03
2016.0,10002.0,IRPF PTE 2009,,,,-57159.57
2016.0,10007.0,IRPF PTE 2013,,,,-208289.45
2016.0,11200.0,IBI.NATURALEZA RUSTICA,1278745.6,,1278745.6,1236033.67
2016.0,11300.0,IBI.NATURALEZA URBANA,59856245.16,,59856245.16,61860576.55
2016.0,11400.0,IBI CARACTERISTICAS ESPECIALES,8348431.48,,8348431.48,8298061.74
2016.0,11500.0,IMPTO.VEHICC.TRACC.MECANICA,10700000.0,,10700000.0,10629970.63
2016.0,11600.0,IMPTO.INCREM.VALOR TERRENOS,5000000.0,,5000000.0,7867053.42
2016.0,13000.0,IMPTO.ACTIV.ECONOMICAS,7100000.0,,7100000.0,7072534.43
2016.0,21000.0,IMPTO.SOBRE VALOR AÑADIDO,2477254.41,,2477254.41,2856364.29
2016.0,21001.0,IVA PTE 2008,,,,-26969.54
2016.0,21002.0,IVA PTE 2009,,,,-55675.49
2016.0,21007.0,IVA PTE 2013,,,,-69826.67
2016.0,22000.0,IMPTO.SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS,37619.16,,37619.16,33707.74
2016.0,2200002.0,LIQ.ALCOHOL PTE 2009,,,,-390.91
2016.0,22001.0,IMPTO.SOBRE LA CERVEZA,13431.72,,13431.72,14168.21
2016.0,2200102.0,LIQ.IMPTO.SOBRE LA CERVEZA PTE 2009,,,,-8.97
2016.0,22003.0,IMPTO.SOBRE LAS LABORES DEL TABACO,366005.24,,366005.24,335725.37
2016.0,2200302.0,LIQ.IMPTO.SOBRE EL TABACO PTE 2009,,,,-1227.98
2016.0,2200307.0,TABACO PTE 2013,,,,-2851.24
2016.0,22004.0,IMPTO.SOBRE HIDROCARBUROS,445580.44,,445580.44,521401.79
2016.0,2200402.0,LIQ.IMPTO.SOBRE HIDROCARBUROS PTE 2009,,,,-2231.19
