#ORG.,PROG.,ECON.,DESCRIPCIÓN,CREDITOS INICIALES,MODIFICACI.,CREDITOS DEFINITIVOS,OBLICACIONES RECONOCIDAS
1.0,91200.0,10000.0,CORP. Y GRUP. POLITICOS.- DEDICACIONES Y ASISTENCIAS,740000.0,0.0,740000.0,62554.09
1.0,91200.0,10001.0,CORP. Y GRUP. POLITICOS- TRIENIOS,8000.0,0.0,8000.0,301.54
1.0,91200.0,11000.0,CORP. Y GRUP.POLITICOS.- EVENTUALES GRUPOS POLÍTICOS,191800.0,0.0,191800.0,13836.97
1.0,91201.0,11000.0,ORG.GOBIERNO.- RETRIB. RESTO EVENTUALES,341000.0,0.0,341000.0,24728.6
1.0,91201.0,12000.0,ORG.GOBIERNO.- SUELDOS DEL GRUPO A1 (PROTOCOLO),14824.09,0.0,14824.09,1131.36
1.0,91202.0,12000.0,PLAN.Y PROY.ECONÓMICOS.- SUELDOS GRUP A1,14824.09,0.0,14824.09,0.0
2.0,92000.0,12000.0,SECRETARIA.- SUELDOS DEL GRUPO A1,29648.18,0.0,29648.18,2262.72
2.0,92001.0,12000.0,ADMON.MUNICIPAL.- SUELDOS DEL GRUPO A1,29648.18,0.0,29648.18,2262.72
2.0,92010.0,12000.0,ASES.JURÍDICA.- SUELDOS DEL GRUPO A1,59296.36,0.0,59296.36,3394.08
2.0,92200.0,12000.0,COORD.PLANES Y PROYECTOS.- SUELDOS DEL GRUPO A1,29648.18,0.0,29648.18,1131.36
3.0,33410.0,12000.0,NORM.LINGÜÍSTICA.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
3.0,92020.0,12000.0,PATRIMONIO.- SUELDOS DEL GRUPO A1,74120.45,0.0,74120.45,5656.8
3.0,92050.0,12000.0,DIR.MODERN.Y CALIDAD.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
3.0,92051.0,12000.0,SEC.INNOV.Y DES.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,0.0
3.0,92053.0,12000.0,SISTEMAS FISICOS- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
3.0,92055.0,12000.0,BASE DATOS.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
3.0,92056.0,12000.0,U.MODER.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
3.0,92060.0,12000.0,GEST.RRHH.- SUELDOS DEL GRUPO A1,29648.19,0.0,29648.19,3394.08
3.0,92400.0,12000.0,PART.CIUD.- SUELDOS DEL GRUPO A1,29648.18,0.0,29648.18,1131.36
3.0,92500.0,12000.0,ATEN.INTEGRADA.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
3.0,93100.0,12000.0,INTERVENCIÓN.- SUELDOS DEL GRUPO A1,74120.45,0.0,74120.45,6114.2
3.0,93110.0,12000.0,GEST.PRESUP.CONTAB.- SUELDOS DEL GRUPO A1,44472.27,0.0,44472.27,3394.08
3.0,93200.0,12000.0,GEST.TRIB.- SUELDOS DEL GRUPO A1,59296.36,0.0,59296.36,4525.44
3.0,93220.0,12000.0,RECAUDACIÓN.- SUELDOS GRUPO A1,44472.27,0.0,44472.27,3394.08
3.0,93400.0,12000.0,TESORERÍA.- SUELDOS DEL GRUPO A1,29648.18,0.0,29648.18,2262.72
4.0,24100.0,12000.0,A.D.L. SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,0.0
4.0,32000.0,12000.0,EDUCACION.-SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
4.0,33210.0,12000.0,BIBLIOTECAS.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,2262.72
4.0,33220.0,12000.0,ARCHIVOS.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,0.0
4.0,33300.0,12000.0,PLANETARIO.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
4.0,33400.0,12000.0,CULT.-SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,0.0
4.0,33420.0,12000.0,BANDA MÚSICA.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,0.0
4.0,33700.0,12000.0,JUVENTUD.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
5.0,13000.0,12000.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,839.4
5.0,13200.0,12000.0,POLICIA LOCAL.- SUELDOS DEL GRUPO A1,59296.36,0.0,59296.36,1131.36
5.0,13201.0,12000.0,GRUPO FORM. ESPAC.- SUELDOS GRUPO A1,14824.09,0.0,14824.09,0.0
5.0,13400.0,12000.0,SECC.MOVILIDAD URBANA.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1532.81
5.0,13601.0,12000.0,ASIST.SANIT.BOMBEROS.- SUELDOS GRUPO A1,14824.09,0.0,14824.09,1131.36
5.0,15000.0,12000.0,COOR. AREA SERVICIOS.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
5.0,15100.0,12000.0,DIREC.URBAN.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
5.0,15110.0,12000.0,DESARR. URBANIST.- SUELDOS DEL GRUPO A1,29648.19,0.0,29648.19,2262.72
5.0,15111.0,12000.0,NEG.TECN.PLANEAM.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
5.0,15112.0,12000.0,NEG.ADM.PLANEAM.- SUELDOS DEL GRUPO A1,29648.18,0.0,29648.18,1131.36
5.0,15113.0,12000.0,REG.URBANISMO.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
5.0,15120.0,12000.0,SEC.CONTROL URBAN.- SUELDOS GRUPO A1,14824.09,0.0,14824.09,1131.36
5.0,15121.0,12000.0,NEG.ADVO.CONTROL URBAN.- SUELDOS GRUPO A1,29648.18,0.0,29648.18,2262.72
5.0,15122.0,12000.0,NEG.TECN.CONT.URBAN.- SUELDOS GRUPO A1,29648.18,0.0,29648.18,2262.72
5.0,15123.0,12000.0,NEG.ADVO.ACTIVIDADES.-SUELDOS GRUPO A1,14824.09,0.0,14824.09,1131.36
5.0,15124.0,12000.0,NEG.TECN.ACTIVIDADES.-SUELDOS GRUPO A1,14824.09,0.0,14824.09,1131.36
5.0,15201.0,12000.0,VIVIENDA.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,0.0
5.0,15220.0,12000.0,S.ARQU.URBANA.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
5.0,15222.0,12000.0,PROY. EDIFIC.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,527.97
5.0,15300.0,12000.0,DIR.SERV.URBANOS.- SUELDOS GRUPO A1,29648.18,0.0,29648.18,3394.08
5.0,15301.0,12000.0,NEG.ADM.JURID.DIREC.SERV.URBAN.- SUELDOS DEL GRUPO A1,29648.18,0.0,29648.18,1131.36
5.0,15302.0,12000.0,SECC.INFRAESTRUC.- SUELDOS GRUPO A1,14824.09,0.0,14824.09,1206.78
5.0,15360.0,12000.0,INFRAESTRUCT.- SUELDOS GRUPO A1,14824.09,0.0,14824.09,1131.36
5.0,17000.0,12000.0,GEST.MEDIO AMBIENTAL.- SUELDOS DEL GRUPO A1,29648.18,0.0,29648.18,2262.72
5.0,23100.0,12000.0,SERV.SOC Y CULT.- SUELDOS DEL GRUPO A1,29648.18,0.0,29648.18,2262.72
5.0,23101.0,12000.0,CONTRAT.SERV.SOC.- SUELDOS DEL GRUPO A1,29648.18,0.0,29648.18,1131.36
5.0,23102.0,12000.0,IGUALDAD.- SUELDOS DEL GRUPO A1,29648.18,0.0,29648.18,2262.72
5.0,23103.0,12000.0,GPTA.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
5.0,23109.0,12000.0,FAM. INFANCIA.- SUELDOS DEL GRUPO A1,29648.18,0.0,29648.18,2262.72
5.0,23110.0,12000.0,DINAMIZ.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
5.0,23111.0,12000.0,INMIGRACIÓN.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,1131.36
3.0,33410.0,12001.0,NORM.LINGÜÍSTICA.- SUELDOS GRUPO A2,13035.59,0.0,13035.59,978.26
3.0,92020.0,12001.0,PATRIMONIO.- SUELDOS DEL GRUPO A2,13035.59,0.0,13035.59,978.26
3.0,92051.0,12001.0,SEC.INNOV.Y DES.- SUELDOS DEL GRUPO A2,13035.59,0.0,13035.59,0.0
3.0,92052.0,12001.0,DES.APLICACIONES.- SUELDOS DEL GRUPO A2,26071.18,0.0,26071.18,1798.74
3.0,92053.0,12001.0,SISTEMAS FISICOS.- SUELDOS DEL GRUPO A2,13035.59,0.0,13035.59,978.26
3.0,92054.0,12001.0,INF.GEOGR.- SUELDOS DEL GRUPO A2,13035.59,0.0,13035.59,978.26
