#ORG.,PROG.,ECON.,DESCRIPCIÓN,CREDITOS INICIALES,MODIFICACI.,CREDITOS DEFINITIVOS,OBLICACIONES RECONOCIDAS
3.0,01100,31001.0,DEUDA PUBLICA.- INTERESES DE PRESTAMOS,783934.23,0.0,783934.23,403539.77
3.0,01100,31002.0,DEUDA PUBLICA.- INTERESES OP.TESORERIA,30000.0,0.0,30000.0,0.0
3.0,01100,31900.0,DEUDA PUBLICA.- OTROS GASTOS FINANCIEROS,49.96,0.0,49.96,0.5
3.0,01100,91304.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 100,1150000.0,0.0,1150000.0,575000.0
3.0,01100,91305.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 419,2088536.16,0.0,2088536.16,1044268.08
3.0,01100,91313.0,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA SABADELL 2010,1100000.0,0.0,1100000.0,825000.0
3.0,01100,91315.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA (2008) 110,696647.52,0.0,696647.52,348323.75
3.0,01100,91316.0,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA SABADELL(2008),503352.52,0.0,503352.52,503352.52
3.0,01100,91329.0,DEUDA PUBLICA.- AMORTIZ.PREST. BBVA(RDL 4/2012),851204.18,0.0,851204.18,425602.08
3.0,01100,91330.0,DEUDA PUBLICA.- AMORTIZ.PREST.CAIXABANC(RDL4/2012),1107815.72,0.0,1107815.72,553907.86
3.0,01100,91331.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTANDER(RDL4/2012),948232.36,0.0,948232.36,474116.16
3.0,01100,91332.0,DEUDA PUBLICA.- AMORTIZ.PREST. SAB CAM (RDL4/2012),361758.52,0.0,361758.52,180879.26
3.0,01100,91334.0,DEUDA PUBLICA.- AMORTIZ.PREST. BANKIA (RDL 4/2012),815980.37,0.0,815980.37,407990.18
3.0,01100,91335.0,DEUDA PUBLICA.- AMORTIZ.PREST.SAN/BANES(RDL4/2012),388309.68,0.0,388309.68,194154.82
3.0,01100,91338.0,DEUDA PUBLICA.- AMORT.PRES.B.COOP.ESPAÑOL(R4/2012),15230.08,0.0,15230.08,7615.02
3.0,01100,91339.0,DEUDA PUBLICA.- AMORTIZ.PREST.SABADELL (2017),272208.72,0.0,272208.72,0.0
5.0,13000.0,12000.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO A1,14972.33,0.0,14972.33,10683.75
5.0,13000.0,12003.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO C1,20167.06,0.0,20167.06,15008.08
5.0,13000.0,12004.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO C2,59828.93,0.0,59828.93,44853.91
5.0,13000.0,12005.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO E,7802.28,0.0,7802.28,4555.26
